Date,Quarter,GDP_Trillion
2000,1,481.99
2000,2,482.4
2000,3,488.26
2000,4,494.04
2001,1,488.7
2001,2,489.72
2001,3,497.36
2001,4,493.96
2002,1,488.5
2002,2,491.9
2002,3,487.32
2002,4,487.08
2003,1,490.2
2003,2,482.5
2003,3,484.83
2003,4,491.66
2004,1,492.52
2004,2,500.76
2004,3,498.84
2004,4,499.6
2005,1,513.47
2005,2,508.49
2005,3,510.8
2005,4,505.32
2006,1,508.77
2006,2,510.93
2006,3,505.23
2006,4,510.75
2007,1,506.55
2007,2,507.98
2007,3,507.55
2007,4,518.83
2008,1,513.46
2008,2,511.87
2008,3,522.29
2008,4,517.1
2009,1,525.64
2009,2,519.41
2009,3,523.83
2009,4,531.18
2010,1,533.94
2010,2,531.68
2010,3,530.12
2010,4,528.74
2011,1,523.42
2011,2,526.09
2011,3,527.23
2011,4,534
2012,1,532.51
2012,2,526.07
2012,3,536.94
2012,4,536.97
2013,1,538.78
2013,2,546.8
2013,3,551
2013,4,552.59
2014,1,546.87
2014,2,549.69
2014,3,552.35
2014,4,554.57
2015,1,548.14
2015,2,548.68
2015,3,544.58
2015,4,544.23
2016,1,552.86
2016,2,556.28
2016,3,552.46
2016,4,559.21
2017,1,559.46
2017,2,558.42
2017,3,565.34
2017,4,572.64
2018,1,568.44
2018,2,576.31
2018,3,560.38
2018,4,574.33
2019,1,571.1
2019,2,568.97
2019,3,569.89
2019,4,561.1
2020,1,568.1
2020,2,570.9
2020,3,576.52
2020,4,570.32
2021,1,571.52
2021,2,575.52
2021,3,584.16
2021,4,584.74
2022,1,583.97
2022,2,590.32
2022,3,590.24
2022,4,594.64
2023,1,588.24
2023,2,589.52
2023,3,588.71
2023,4,583.77
2024,1,590.29
2024,2,590
2024,3,589.36
2024,4,589.43
2025,1,586.39
2025,2,592.65
2025,3,595.67
,4,
